aqi,pm25,pm10,temp,humidity,wind,timestamp
118,118,65,41.10666666666666,14.126666666666667,0.1366666666666667,2026-05-19 16:49:14
118,118,65,41.10666666666666,14.126666666666667,0.1366666666666667,2026-05-19 16:49:18
118,118,65,41.10666666666666,14.126666666666667,0.1366666666666667,2026-05-19 16:51:37
118,118,65,41.10666666666666,14.126666666666667,0.1366666666666667,2026-05-19 16:52:11
118,118,65,41.10666666666666,14.126666666666667,0.1366666666666667,2026-05-19 16:53:12
118,118,65,41.10666666666666,14.126666666666667,0.1366666666666667,2026-05-19 16:54:13
118,118,65,41.10666666666666,14.126666666666667,0.1366666666666667,2026-05-19 16:55:14
118,118,65,41.10666666666666,14.126666666666667,0.1366666666666667,2026-05-19 16:56:15
118,118,65,41.10666666666666,14.126666666666667,0.1366666666666667,2026-05-19 16:57:16
118,118,65,41.10666666666666,14.126666666666667,0.1366666666666667,2026-05-19 16:58:07
118,118,65,41.10666666666666,14.126666666666667,0.1366666666666667,2026-05-19 16:59:08
119,119,65,40.72,13.76,0.12,2026-05-19 17:00:09
119,119,65,40.72,13.76,0.12,2026-05-19 17:01:13
119,119,65,40.72,13.76,0.12,2026-05-19 17:02:14
119,119,65,40.72,13.76,0.12,2026-05-19 17:03:15
119,119,65,40.595,13.504999999999999,0.105,2026-05-19 17:13:21
119,119,65,40.595,13.504999999999999,0.105,2026-05-19 17:14:22
119,119,65,40.595,13.504999999999999,0.105,2026-05-19 17:15:23
119,119,65,40.595,13.504999999999999,0.105,2026-05-19 17:16:24
119,119,65,40.595,13.504999999999999,0.105,2026-05-19 17:17:25
119,119,65,40.595,13.504999999999999,0.105,2026-05-19 17:18:26
119,119,65,40.595,13.504999999999999,0.105,2026-05-19 17:19:27
119,119,65,40.595,13.504999999999999,0.105,2026-05-19 17:20:28
43,43,25,23,39.36,0.91,2026-05-20 11:52:25
43,43,25,23,39.36,0.91,2026-05-20 11:53:26
43,43,25,23,39.36,0.91,2026-05-20 11:54:27
43,43,25,23,39.36,0.91,2026-05-20 11:55:28
43,43,25,23,39.36,0.91,2026-05-20 11:56:29
43,43,25,23,39.36,0.91,2026-05-20 11:57:31
43,43,25,23,39.36,0.91,2026-05-20 11:58:32
43,43,25,23,39.36,0.91,2026-05-20 11:59:33
43,43,25,23,39.36,0.91,2026-05-20 12:00:34
52,52,30,26,31.18,0.37,2026-05-20 12:10:27
52,52,30,26,31.18,0.37,2026-05-20 12:10:58
52,52,30,26,31.18,0.37,2026-05-20 12:11:29
52,52,30,26,31.18,0.37,2026-05-20 12:12:01
52,52,30,26,31.18,0.37,2026-05-20 12:12:32
52,52,30,26,31.18,0.37,2026-05-20 12:13:03
52,52,30,26,31.18,0.37,2026-05-20 12:13:34
52,52,30,26,31.18,0.37,2026-05-20 12:14:05
52,52,30,26,31.18,0.37,2026-05-20 12:14:37
64,64,44,27,41.83,0.66,2026-05-20 17:56:40
64,64,44,27,41.83,0.66,2026-05-20 17:57:11
64,64,44,27,41.83,0.66,2026-05-20 17:57:42
64,64,44,27,41.83,0.66,2026-05-20 17:58:13
64,64,44,27,41.83,0.66,2026-05-20 17:58:44
64,64,44,27,41.83,0.66,2026-05-20 17:59:15
64,64,44,27,41.83,0.66,2026-05-20 17:59:47
64,64,44,27,41.83,0.66,2026-05-20 18:00:18
